A filosofia do Nível 2 é: Comunidade e Especialização.,,,
,,,
Aqui está o desenho completo do que é desbloqueado e como o jogo evolui.,,,
,,,
1. Cargos Liberados no Nível 2,,,
"Ao se tornar um Barão, o líder precisa delegar. A sociedade se torna mais complexa, exigindo especialistas. Estes cargos são desbloqueados através de pesquisa na nova Biblioteca.",,,
,,,
Cargo Genérico,Pré-requisito para Nomear,Bônus Mecânico do Cargo,
Conselheiro Geral,Ter um Salão do Vilarejo construído.,"Aumenta a Moral do feudo, concedendo +5% a toda a produção.",
Mestre das Moedas,Ter um Mercado construído.,Aumenta a geração de Moedas de Cobre de todas as fontes em 10%.,
Mestre Ferreiro,Ter uma Forja construída.,Reduz o custo em minério de ferro para todos os itens criados na forja em 10%.,
Mestre Carpinteiro,Ter uma Marcenaria construída.,Reduz o custo em madeira para construções e upgrades em 5%.,
Sacerdote,Ter uma Igreja/Templo (Nv.1) construído.,"Permite ativar uma ""Bênção"" semanal no feudo (ex: +10% de cura por um dia).",
Taverneiro,Ter uma Taverna construída.,"Aumenta a geração passiva de Moedas de Cobre do feudo, representando o lucro do estabelecimento.",
"Nota: Os cargos de Nível 1 (Capataz, Vigia) continuam existindo e sendo importantes.",,,
,,,
2. Construções Liberadas no Nível 2,,,
"A ascensão ao Nível 2 desbloqueia um novo lote de construção no seu terreno, permitindo a expansão. Além disso, novas estruturas se tornam disponíveis para pesquisa e construção.",,,
,,,
Construção,Pré-requisito de Pesquisa,Custo (Exemplo),Função Principal
Taverna,"""Arquitetura Comunitária""","1500 Madeira, 500 Pedra",Centro social. Aumenta a Moral da População e gera Moedas de Cobre passivamente.
Ferreiro / Forja,"""Fundamentos da Metalurgia""","1200 Madeira, 800 Pedra",Permite o crafting de armas e armaduras de ferro. Concede um bônus para ferreiros que a utilizam.
Marcenaria,"""Carpintaria Avançada""","1200 Madeira, 400 Pedra","Permite o crafting de arcos, móveis e escudos de qualidade. Concede bônus a carpinteiros."
Estábulo,"""Domesticação de Bestas""","2000 Madeira, 500 Pedra","Permite abrigar e treinar montarias, aumentando a velocidade de viagem dos membros do feudo."
Biblioteca,"""Escrita Formal""","2500 Madeira, 1000 Pedra",Substitui a Mesa de Planejamento. É necessária para todas as pesquisas do Nível 2 em diante.
Muralha (Upgrade),"""Técnicas de Fortificação""","3000 Pedra, 1000 Madeira","Permite evoluir a Paliçada de Madeira para uma Muralha de Pedra Baixa, aumentando drasticamente seu HP."
3. Traços Culturais (Nível 2),,,
"Ao atingir o Nível 2, o líder deve fazer uma escolha estratégica que definirá o futuro do seu feudo. Ele escolhe um de dois novos traços culturais, permitindo aprofundar suas forças ou mitigar suas fraquezas.",,,
,,,
Cultura,Opção de Traço 1 (Aprofundar Força),Opção de Traço 2 (Mitigar Fraqueza),
Baduran (Anões),"""Mestre da Forja"": -15% no custo de produção de armas e armaduras de metal.","""Cultivo em Terraços"": A penalidade de produção de comida é reduzida de -25% para -10%.",
Drow (Elfos Negros),"""Alquimia Sombria"": Desbloqueia receitas de venenos exclusivos.","""Diplomacia Ardilosa"": A penalidade de reputação é removida; ganha bônus em negociações comerciais.",
Aiglanos (Romano),"""Estradas Imperiais"": A velocidade das caravanas que saem do seu feudo é aumentada em 20%.","""Logística Eficiente"": A penalidade de custo de construção é reduzida de +10% para +0%.",
Björske (Rohan),"""Cavalaria de Rohan"": Desbloqueia uma unidade montada única no Estábulo.","""Tradição dos Skalds"": Remove a penalidade de pesquisa; A Biblioteca funciona 5% mais rápido.",
Polkinea (Hobbit),"""Mestre Cervejeiro"": A Taverna gera o dobro de Moedas de Cobre.","""Coragem Inesperada"": Remove a penalidade de HP das unidades militares.",
Gulthrak (Orc),"""Sede de Sangue"": Ganha recursos bônus ao vencer batalhas PvP.","""Comerciantes de Troféus"": Remove a penalidade de geração de Moedas de Cobre.",
P. do Leste (Oriental),"""Caminho do Bushido"": Unidades militares ganham +10% de dano.","""Expansão Populacional"": Remove o custo adicional das Casas.",
Aluriel (Elfos),"""Sabedoria Ancestral"": Acelera a pesquisa em +10% adicional.","""Técnicas de Construção Ágeis"": Remove a penalidade de tempo de construção.",
4. O Livro de Leis (Novos Decretos de Nível 2),,,
"Como Barão, o líder agora pode manter duas Leis Ativas, desde que sejam de categorias diferentes (ex: uma Econômica e uma Militar). Novos decretos mais complexos são liberados:",,,
,,,
Categoria,Nome da Lei,Efeito da Lei (Bônus e Penalidade),
Lei Econômica,"""Decreto das Guildas""",#ERROR!,
Lei Econômica,"""Monopólio Comercial""",O Mercado do feudo gera 50% mais em impostos. <br> A reputação com feudos vizinhos diminui lentamente.,
Lei Militar,"""Patrulha Montada""",Unidades no Estábulo são treinadas 20% mais rápido. <br> O consumo total de comida do feudo aumenta em 15%.,
Lei Militar,"""Muralhas Vigiadas""",Guardas NPC posicionados sobre as muralhas ganham bônus de defesa. <br> O salário (upkeep) de todos os guardas aumenta em 25%.,
"Este conjunto de adições eleva o Nível 2 a um novo patamar de gestão, forçando decisões estratégicas sobre especialização cultural, política interna e desenvolvimento econômico, tudo dentro do ambiente imersivo e físico do Ultima Online.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Construções Liberadas no Nível 2 (Baronia),,,
"Aqui está a lista das novas estruturas, seus pré-requisitos, e o que elas desbloqueiam em termos de jogabilidade.",,,
,,,
1. Taverna,,,
"É uma evolução? Não, é uma construção nova.",,,
Pré-requisitos:,,,
,,,
Feudo: Nível 2 (Barão).,,,
"Pesquisa Necessária: ""Hospitalidade Comunitária"" (pesquisada na Mesa de Planejamento).",,,
"Custo (Exemplo): 1500 Madeira, 500 Pedra, 1000 Moedas de Cobre.",,,
O que ela Libera:,,,
,,,
"Mecânica: Gera uma pequena quantidade de Moedas de Cobre passivamente por dia (o ""lucro do bar""). Aumenta a Moral da sua População, o que pode reduzir a chance de eventos negativos.",,,
"Cargos: Desbloqueia o cargo de ""Taverneiro"".",,,
"Roleplay: Cria o coração social do seu feudo. É um local físico para os jogadores se encontrarem, fazerem acordos, contratarem mercenários e obterem missões (tanto de NPCs quanto de outros jogadores).",,,
