A Senda da Nobreza: Requisitos de Ascensão por Nível,,,,
,Nível 2 (Barão),Nível 3 (Conde),Nível 4 (Marquês),Nível 5 (Duque)
Título a ser Conquistado,Barão da Baronia,Conde do Condado,Marquês da Marca,Duque do Ducado
Filosofia,Provar a Fundação e Subsistência.,Provar a Urbanização e Estabilidade.,Provar o Poder Militar e Estratégico.,Provar a Soberania Absoluta e o Legado.
Infraestrutura Mínima,"Paliçada, 1 Casa, 2 Estruturas de Produção.","Muralha de Pedra (Nv.1), Salão do Conselho (Nv.1), Biblioteca (Nv.1), Mercado (Nv.1), Quartel (Nv.1).","Muralhas Altas (Nv.2), Quartel (Nv.2), Hospital (Nv.2), Oficina de Cerco, Torre Mágica.","Castelo (Nv.1), 3 estruturas de Nível 4 em seu nível máximo, Muralha Reforçada (Nv.2)."
Requisito Social,População mínima de 8 por 3 dias. Balanço de Comida positivo por 3 dias.,População mínima de 24 por 7 dias. Balanço de Comida e Cobre positivo por 7 dias.,Manter um exército com mínimo de 20 Soldados NPC e 5 unidades de elite.,Ser o feudo de maior Influência (Prosperidade ou Poder Militar) na região por 14 dias.
Requisito de Conhecimento,Completar 2 pesquisas de Nível 1.,"Pesquisar tecnologias chave do Nível 2 (ex: ""Fortificação"", ""Administração"").","Pesquisar tecnologias chave de Nível 3 (ex: ""Doutrina de Cerco"", ""Logística Avançada"").",Pesquisar a tecnologia final da sua árvore cultural.
Tributo (Recursos),Madeira: 2.500 <br> Pedra: 1.500 <br> Ferro: 200 <br> Cobre: 2.500,Madeira: 20.000 <br> Pedra: 25.000 <br> Ferro: 5.000 <br> Cobre: 20.000 <br> Pergaminhos: 2.000,Ferro: 10.000 <br> Couro Curtido: 5.000 <br> Cobre: 50.000 <br> Armas Masterwork: 10,Cobre: 100.000 <br> Artefatos Regionais: 20
Missão de RP,Missão de Senhor (Provisão ou Segurança).,Missão de Nobreza (Proteger Rota ou Sediar Torneio).,A Prova de Fogo (Conquistar ou Defender).,O Rito da Coroação.
Recompensa Principal,!+1 Lote de Construção. Desbloqueio de mecânicas de Nível 2.,!+1 Lote de Construção. Desbloqueio de mecânicas de Nível 3.,!+2 Lotes de Construção. Desbloqueio de mecânicas de Nível 4.,!+2 Lotes de Construção. Desbloqueio da mecânica de Vassalagem.
,,,,
,,,,
,,,,
,,,,
O Caminho para o Nível 2: Requisitos para se Tornar um Barão,,,,
"A ascensão de Senhor para Barão significa que seu domínio deixou de ser um acampamento de fronteira e se tornou uma comunidade estabelecida. Você provou que consegue não apenas sobreviver, mas também organizar uma sociedade funcional.",,,,
,,,,
1. Pré-Requisitos de Infraestrutura (A Prova de Fundação),,,,
"O feudo precisa ter todas as estruturas essenciais de um assentamento funcional. Como o espaço é limitado, isso já representa um desafio de planejamento.",,,,
,,,,
"Paliçada de Madeira (Completa): O domínio deve estar totalmente cercado, provando que o líder se preocupa com a segurança básica.",,,,
Casa (Mínimo de 1): Deve haver uma estrutura formal de moradia.,,,,
"Estruturas Produtivas (Mínimo de 2): O feudo deve ter pelo menos duas construções de produção de Nível 1 (ex: 1 Fazenda e 1 Lenhador, ou 2 Fazendas, etc.), mostrando que possui uma economia especializada.",,,,
"Mesa de Planejamento (Construída): O feudo deve ter um centro de pesquisa, mesmo que rudimentar.",,,,
2. Pré-Requisitos de População e Estabilidade (A Prova de Subsistência),,,,
O feudo deve ser capaz de se sustentar sem entrar em colapso.,,,,
,,,,
População Mínima: Atingir e manter uma População (Força de Trabalho) mínima de 8 por três dias consecutivos. Isso exige a construção de pelo menos uma Casa.,,,,
Estabilidade Alimentar: Manter um balanço positivo de Comida por três dias consecutivos. Isso prova que o líder consegue alimentar seu povo e não está governando um campo de fome.,,,,
3. Pré-Requisitos de Conhecimento (A Prova de Progresso),,,,
O Senhor deve demonstrar que não está estagnado e que busca o avanço.,,,,
,,,,
Pesquisas Mínimas Concluídas: Completar com sucesso pelo menos duas pesquisas da árvore tecnológica do Nível 1. Isso força o jogador a engajar com o sistema de pesquisa desde cedo.,,,,
4. O Tributo de Reconhecimento (A Prova de Lealdade e Riqueza),,,,
"Este é o principal ""sumidouro de recursos"" do Nível 1. Para que o reino suserano reconheça o Senhor como um Barão, um tributo deve ser pago. O custo é alto o suficiente para exigir um esforço coletivo.",,,,
,,,,
Custo do Tributo para se Tornar Barão:,,,,
,,,,
2.500 Madeira,,,,
1.500 Pedra,,,,
200 Minério de Ferro,,,,
2.500 Moedas de Cobre,,,,
5. O Rito de Passagem (A Prova de Liderança - Roleplay),,,,
"Para um servidor 100% RP, a ascensão precisa de um ato narrativo. No Nível 1, este ato é mais simples e focado na comunidade local.",,,,
,,,,
"A Missão do Senhor: O jogador deve completar uma das seguintes tarefas, que são reconhecidas como um feito digno de um futuro Barão:",,,,
,,,,
"A Missão de Provisão: ""As caravanas do reino estão sob ataque e os suprimentos não chegam. Entregue pessoalmente 1.000 Comida e 500 Madeira ao quartel-general do reino na capital."" (Isso simula o apoio logístico a um poder maior).",,,,
"A Missão de Segurança: ""Uma criatura notória (um monstro chefe de nível baixo a médio) tem aterrorizado as estradas perto do seu domínio. Cace-a e traga sua cabeça como prova para o capitão da guarda na capital."" (Isso prova a capacidade marcial e a preocupação com a segurança regional).",,,,
Tabela Resumo: Requisitos para Ascensão ao Nível 2 (Barão),,,,
Categoria,Requisito Detalhado,,,
Infraestrutura,"Construir uma Paliçada completa, 1 Casa, 2 Estruturas de Produção e a Mesa de Planejamento.",,,
População,Atingir e manter uma População mínima de 8 por três dias.,,,
Estabilidade,Manter balanço positivo de Comida por três dias.,,,
Conhecimento,Completar pelo menos duas pesquisas de Nível 1.,,,
Tributo,"Pagar um custo significativo em Madeira, Pedra, Ferro e Moedas de Cobre.",,,
Roleplay,"Completar com sucesso uma ""Missão de Senhor"" (Provisão ou Segurança).",,,
"Cumprir esses requisitos é um tutorial disfarçado. Ele força o jogador a aprender sobre produção, estabilidade, pesquisa, economia e a interagir com o mundo ao seu redor. Ao final, o jogador não apenas ""passa de nível"", ele mereceu o título de Barão, e seu feudo está pronto para a próxima fase de desenvolvimento.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
O Caminho para o Nível 3: Requisitos para se Tornar um Conde,,,,
"A ascensão de Barão para Conde não é um simples ""clique para evoluir"". É um processo que testa todos os pilares do seu governo: infraestrutura, economia, população, conhecimento e liderança. O feudo precisa provar que está pronto para ser a capital de um condado.",,,,
,,,,
1. Pré-Requisitos de Infraestrutura (A Prova Física),,,,
Seu feudo precisa ter a aparência e a funcionalidade de uma cidade em ascensão.,,,,
,,,,
Muralha de Pedra (Nível 1): A paliçada de madeira não é mais suficiente. A cidade deve ser protegida por pedra.,,,,
Salão do Vilarejo (Nível 2): A gestão não pode mais ser feita de uma cabana. É preciso uma estrutura administrativa central e evoluída.,,,,
"Biblioteca (Nível 1): O feudo deve ter se tornado um centro de conhecimento, substituindo a antiga ""Mesa de Planejamento"".",,,,
Mercado (Nível 1): Um centro comercial funcional é obrigatório.,,,,
Quartel (Nível 1): É preciso ter uma estrutura dedicada para organizar as forças militares.,,,,
Lotes de Construção Ocupados: Todos os lotes de construção disponíveis no Nível 2 devem estar ocupados por estruturas produtivas ou sociais.,,,,
2. Pré-Requisitos de População e Estabilidade (A Prova Social),,,,
Uma cidade precisa de um povo próspero e bem gerenciado.,,,,
,,,,
População Mínima: O feudo deve ter uma População (Força de Trabalho) mínima de 24. Isso exige a construção e manutenção de pelo menos 3 Casas.,,,,
Estabilidade Econômica: O feudo deve ter um balanço positivo de Comida e Moedas de Cobre por pelo menos uma semana consecutiva. Isso prova que sua economia é sustentável e não está à beira do colapso.,,,,
3. Pré-Requisitos de Conhecimento (A Prova Tecnológica),,,,
"Para se tornar um Conde, você precisa dominar as tecnologias de um Barão.",,,,
,,,,
"Pesquisas Essenciais Concluídas: O feudo deve ter pesquisado um número mínimo de tecnologias-chave do Nível 2, como:",,,,
,,,,
"""Técnicas de Fortificação"" (para a muralha de pedra).",,,,
"""Administração Centralizada"" (para o Salão do Vilarejo).",,,,
"Pelo menos uma tecnologia econômica avançada (ex: ""Decreto das Guildas"").",,,,
4. O Grande Tributo (A Prova de Riqueza e Poder),,,,
"Este é o principal ""sumidouro de recursos"", representando o custo de urbanização e o pagamento de taxas ao reino suserano para o reconhecimento do novo título.",,,,
,,,,
Custo do Tributo para se Tornar Conde:,,,,
,,,,
20.000 Madeira,,,,
25.000 Pedra,,,,
5.000 Minério de Ferro,,,,
2.000 Pergaminhos Rústicos,,,,
20.000 Moedas de Cobre,,,,
"1 Artefato Regional (um item raro obtido em uma masmorra de alto nível ou através de uma longa cadeia de quests, provando o poder militar/exploratório do feudo).",,,,
5. O Rito de Passagem (A Prova de Liderança - Roleplay),,,,
"Para um servidor 100% RP, este é o requisito mais importante. O Barão precisa realizar um feito que justifique sua ascensão.",,,,
,,,,
"A Missão de Nobreza: O jogador deve completar uma de duas missões épicas oferecidas pelo ""Rei"" (staff/GM):",,,,
,,,,
"A Missão de Ordem: ""A Rota Comercial do Sul está infestada por uma poderosa guilda de bandidos (NPCs de elite ou até mesmo uma guilda de jogadores designada como 'antagonista'). Limpe a rota e torne-a segura para as caravanas por uma semana.""",,,,
"A Missão de Prestígio: ""Organize e sedie um grande torneio aberto a todos os feudos do reino. O evento deve ser bem-sucedido, com um número mínimo de participantes e sem incidentes de segurança.""",,,,
Tabela Resumo: Requisitos para Ascensão ao Nível 3 (Conde),,,,
Categoria,Requisito Detalhado,,,
Infraestrutura,"Construir Muralha de Pedra (Nv.1), Salão do Vilarejo (Nv.2), Biblioteca (Nv.1), Mercado (Nv.1), Quartel (Nv.1). Todos os lotes de construção devem estar ocupados.",,,
População,Atingir e manter uma População mínima de 24.,,,
Estabilidade,Manter balanço positivo de Comida e Moedas de Cobre por uma semana.,,,
Conhecimento,"Pesquisar tecnologias chave do Nível 2 (ex: ""Fortificação"", ""Administração"").",,,
Tributo,"Pagar um custo massivo em recursos, ouro e um Artefato raro.",,,
Roleplay,"Completar com sucesso uma ""Missão de Nobreza"" designada pelo reino.",,,
"Ao cumprir todos esses requisitos, o jogador não apenas ""sobe de nível"". Ele conquista o direito de ser chamado de Conde, e essa jornada terá criado inúmeras histórias de esforço, comércio, guerra e diplomacia ao longo do caminho.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Requisitos para Ascensão ao Nível 4 (Marquês),,,,
A ascensão de Conde para Marquês é um feito militar e tecnológico. O reino suserano só concede este título a um vassalo que provou ser capaz de defender as fronteiras e dominar a arte da guerra.,,,,
,,,,
Categoria,Requisito Detalhado,,,
Infraestrutura,Construir Muralhas Altas com Torres (Nv. 2). Construir um Quartel (Nv. 2) e um Hospital (Nv. 2). Ter uma Oficina de Cerco e uma Torre Mágica.,,,
Poder Militar,"Manter um exército com um mínimo de 20 unidades de Soldados (NPCs) e 5 unidades de elite (ex: Samurais, Cavaleiros).",,,
Conhecimento,"Pesquisar tecnologias chave de Nível 3, como ""Doutrina de Cerco"" e ""Logística Militar Avançada"".",,,
O Grande Tributo,"Pagar um tributo de guerra ao reino: 10.000 Minério de Ferro, 5.000 Couro Curtido, 50.000 Moedas de Cobre e a entrega de 10 armas de qualidade ""Masterwork"".",,,
Roleplay (A Prova de Fogo),"Completar uma de duas missões épicas: <br> 1. Missão de Conquista: Liderar uma campanha militar e destruir um ""Acampamento de Guerra"" inimigo (uma fortaleza de NPCs de elite). <br> 2. Missão de Defesa: Resistir com sucesso a um cerco em larga escala simulado (evento de GM) contra o seu feudo.",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1. Requisitos para Ascensão ao Nível 5 (Duque),,,,
"Este é o desafio final, um feito que poucos feudos conseguirão alcançar em uma era.",,,,
,,,,
Categoria,Requisito Detalhado,,,
Infraestrutura,Construir um Castelo (Nv. 1). Ter pelo menos três estruturas de Nível 4 em seu nível máximo de evolução. Possuir uma Muralha Reforçada (Nv. 2).,,,
Influência,Ser o feudo com o maior Índice de Prosperidade ou Poder Militar da sua região por duas semanas consecutivas.,,,
Conhecimento,"Pesquisar a tecnologia final da sua árvore cultural principal (ex: ""Tradição Imperial"" para os Romanos, ""Domínio Arcano"" para os Elfos).",,,
O Tributo Final,"Pagar um tributo que não é apenas sobre recursos, mas sobre feitos. Ex: 100.000 Moedas de Cobre, 20 Artefatos Regionais, e a ""Coroa do Primeiro Rei"" (um item único obtido ao derrotar o chefe mais poderoso do jogo).",,,
Roleplay (O Rito da Coroação),"O Marquês deve organizar um evento de coroação em seu feudo, convidando os líderes de todos os outros feudos (aliados e inimigos). A cerimônia deve ser concluída sem ser interrompida por um ataque inimigo, provando que ele tem o respeito ou o poder para garantir a paz, mesmo que por um dia.",,,
